收集時間,站點編號,站點名稱,行政區,可借車輛,可還空位,總停車格,營運狀態,地址,緯度,經度
2026-01-26 10:45:07,500104001,YouBike2.0_劍潭抽水站,士林區,16,1,17,營運中,通河東街325巷/通河東街口,25.08128,121.51784
2026-01-26 10:45:07,500104002,YouBike2.0_通河東街大南路口,士林區,7,6,15,營運中,通河東街1段192號(旁),25.08914,121.51542
2026-01-26 10:45:07,500104003,YouBike2.0_福港街停車場,士林區,0,38,38,營運中,華齡街175號(旁),25.08695,121.51901
2026-01-26 10:45:07,500104004,YouBike2.0_百齡國小,士林區,0,50,50,營運中,前港街104號(對面),25.08521,121.51918
2026-01-26 10:45:07,500104005,YouBike2.0_雨聲街165巷口,士林區,18,6,24,營運中,雨聲街/雨聲街165巷(西北側),25.10277,121.53357
2026-01-26 10:45:07,500104006,YouBike2.0_天和公園,士林區,9,5,16,營運中,中山北路七段14巷(公園西側),25.12011,121.53357
2026-01-26 10:45:07,500104007,YouBike2.0_中山天母路口,士林區,14,14,29,營運中,天母西路3-55號前人行道,25.11856,121.52964
2026-01-26 10:45:07,500104008,YouBike2.0_天母運動公園,士林區,1,61,62,營運中,忠誠路二段/忠誠路二段207巷(東南側),25.11633,121.53414
2026-01-26 10:45:07,500104009,YouBike2.0_臺北市立大學(天母校區),士林區,6,42,48,營運中,士東路276號至280號對面人行道,25.11356,121.53718
2026-01-26 10:45:07,500104010,YouBike2.0_忠誠路二段53巷,士林區,8,26,37,營運中,忠誠路2段53巷7號(對面),25.11127,121.53244
2026-01-26 10:45:07,500104012,YouBike2.0_天母棒球場,士林區,10,16,26,營運中,忠誠路二段122號(對面),25.11341,121.53195
2026-01-26 10:45:07,500104013,YouBike2.0_天母北天玉街口,士林區,1,21,22,營運中,天母北路33號(前),25.12011,121.52652
2026-01-26 10:45:07,500104014,YouBike2.0_蘭興公園,士林區,2,59,61,營運中,中山北路六段/士東路(西北側),25.11184,121.52589
2026-01-26 10:45:07,500104015,YouBike2.0_明勝公園,士林區,8,6,14,營運中,承德路4段6巷71號(對面),25.08009,121.51895
2026-01-26 10:45:07,500104016,YouBike2.0_劍潭海外青年活動中心,士林區,11,12,23,營運中,中山北路4段/通河街口,25.07994,121.52426
2026-01-26 10:45:07,500104018,YouBike2.0_忠誠路一段173巷口,士林區,4,7,11,營運中,忠誠路一段177號(前),25.10813,121.5304
2026-01-26 10:45:07,500104019,YouBike2.0_雨農國小,士林區,1,19,21,營運中,忠義街6號對側,25.1054,121.5295
2026-01-26 10:45:07,500104020,YouBike2.0_忠誠公園,士林區,23,2,25,營運中,忠誠路一段18號(對面),25.10399,121.52593
2026-01-26 10:45:07,500104021,YouBike2.0_芝山抽水站,士林區,6,35,41,營運中,至誠路二段47-49號(前),25.10155,121.52832
